Team,Div,Elo,Pts,Gin7,Pin7,Tin7,Gin30,Pin30,Tin30,GinS,PinS,TinS
"COLORADO AVALANCHE",CEN,5632.393,110,3,5,115,10,17,127,10,17,127
"FLORIDA PANTHERS",ATL,5587.775,108,3,5,113,10,17,125,10,17,125
"TORONTO MAPLE LEAFS",ATL,5556.285,100,4,6,106,10,15,115,10,15,115
"CAROLINA HURRICANES",MET,5498.348,102,3,3,105,9,12,114,9,12,114
"NEW YORK RANGERS",MET,5532.843,100,3,5,105,9,13,113,9,13,113
"CALGARY FLAMES",PAC,5526.116,97,3,5,102,10,15,112,10,15,112
"MINNESOTA WILD",CEN,5508.399,94,4,5,99,11,15,109,11,15,109
"TAMPA BAY LIGHTNING",ATL,5487.611,96,3,4,100,10,13,109,10,13,109
"BOSTON BRUINS",ATL,5552.877,93,3,5,98,10,15,108,10,15,108
"ST. LOUIS BLUES",CEN,5431.275,94,4,4,98,10,11,105,10,11,105
"WASHINGTON CAPITALS",MET,5491.583,90,3,4,94,10,13,103,10,13,103
"EDMONTON OILERS",PAC,5526.44,90,3,4,94,9,12,102,9,12,102
"PITTSBURGH PENGUINS",MET,5439.333,92,3,3,95,8,9,101,8,9,101
"DALLAS STARS",CEN,5456.875,86,3,3,89,10,13,99,10,13,99
"LOS ANGELES KINGS",PAC,5461.063,86,3,4,90,8,12,98,8,12,98
"NASHVILLE PREDATORS",CEN,5448.02,87,4,5,92,10,11,98,10,11,98
"VEGAS GOLDEN KNIGHTS",PAC,5395.163,84,3,2,86,9,9,93,9,9,93
"VANCOUVER CANUCKS",PAC,5456.211,80,2,3,83,9,11,91,9,11,91
"WINNIPEG JETS",CEN,5406.856,79,4,4,83,9,9,88,9,9,88
"NEW YORK ISLANDERS",MET,5411.759,75,4,4,79,11,10,85,11,10,85
"COLUMBUS BLUE JACKETS",MET,5372.81,74,3,4,78,9,9,83,9,9,83
"SAN JOSE SHARKS",PAC,5393.938,65,4,4,69,11,13,78,11,13,78
"ANAHEIM DUCKS",PAC,5252.777,70,3,1,71,8,4,74,8,4,74
"BUFFALO SABRES",ATL,5411.914,63,4,5,68,8,10,73,8,10,73
"DETROIT RED WINGS",ATL,5310.591,64,4,3,67,10,7,71,10,7,71
"CHICAGO BLACKHAWKS",CEN,5282.785,59,3,2,61,10,8,67,10,8,67
"OTTAWA SENATORS",ATL,5301.159,58,3,2,60,10,8,66,10,8,66
"PHILADELPHIA FLYERS",MET,5288.866,57,4,2,59,10,7,64,10,7,64
"NEW JERSEY DEVILS",MET,5302.837,56,3,2,58,10,8,64,10,8,64
"MONTREAL CANADIENS",ATL,5331.24,51,4,3,54,10,8,59,10,8,59
"SEATTLE KRAKEN",PAC,3331.998,52,3,2,54,10,7,59,10,7,59
"ARIZONA COYOTES",CEN,5288.365,49,3,2,51,10,7,56,10,7,56
