Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Colorado Avalanche*,28.2,72,52,14,6,110,.764,271,197,4,1,0.99,-0.08,3.76,2.74,61,244,25.00,44,209,78.95,6,5,9.2,10.4,2543,10.7,2315,.915,7
2,Florida Panthers*,27.7,72,51,15,6,108,.750,299,210,3,4,1.16,-0.06,4.15,2.92,56,233,24.03,48,228,78.95,11,7,9.6,10.8,2692,11.1,2199,.905,4
3,Carolina Hurricanes*,28.3,73,47,18,8,102,.699,242,173,1,2,0.90,-0.04,3.32,2.37,48,210,22.86,29,249,88.35,4,3,9.3,7.8,2462,9.8,2064,.916,6
4,Toronto Maple Leafs,28.3,72,47,19,6,100,.694,275,220,2,1,0.71,-0.07,3.82,3.06,58,197,29.44,34,206,83.50,13,4,7.9,7.9,2504,11.0,2207,.900,6
5,New York Rangers,26.6,73,47,20,6,100,.685,221,184,4,3,0.50,-0.02,3.03,2.52,51,193,26.42,38,207,81.64,6,2,8.4,8.2,2109,10.5,2265,.919,6
6,Calgary Flames,28.8,72,44,19,9,97,.674,251,177,2,1,1.00,-0.04,3.49,2.46,47,203,23.15,35,216,83.80,7,3,9.1,8.4,2572,9.8,2105,.916,11
7,Tampa Bay Lightning,29.5,72,44,20,8,96,.667,237,199,2,5,0.48,-0.01,3.29,2.76,48,224,21.43,41,222,81.53,6,5,10.6,10.1,2200,10.8,2147,.907,3
8,Boston Bruins,28.4,72,45,22,5,95,.660,225,193,2,2,0.35,-0.09,3.13,2.68,47,209,22.49,40,230,82.61,5,6,10.1,9.8,2590,8.7,2070,.907,3
9,St. Louis Blues,28.7,72,42,20,10,94,.653,262,204,2,3,0.74,-0.05,3.64,2.83,54,209,25.84,33,200,83.50,9,5,7.8,7.9,2201,11.9,2269,.910,4
10,Pittsburgh Penguins,29.6,74,42,22,10,94,.635,240,199,3,6,0.49,-0.02,3.24,2.69,48,227,21.15,26,186,86.02,3,7,6.9,8.6,2558,9.4,2273,.912,6
11,Minnesota Wild,29.2,71,44,21,6,94,.662,258,218,5,4,0.57,-0.01,3.63,3.07,44,215,20.47,56,227,75.33,1,4,10.5,10.5,2323,11.1,2263,.904,2
12,Washington Capitals,29.4,72,40,22,10,90,.625,235,208,5,2,0.40,-0.02,3.26,2.89,43,217,19.82,37,200,81.50,8,8,7.7,8.3,2257,10.4,2103,.901,7
13,Edmonton Oilers,28.9,73,42,25,6,90,.616,251,229,4,1,0.32,-0.02,3.44,3.14,54,212,25.47,50,224,77.68,9,6,8.0,7.1,2476,10.1,2332,.902,2
14,Nashville Predators,27.6,72,41,26,5,87,.604,234,208,2,2,0.34,-0.02,3.25,2.89,54,222,24.32,49,248,80.24,2,4,12.7,11.8,2132,11.0,2307,.910,3
15,Los Angeles Kings,27.9,74,38,26,10,86,.581,208,210,4,4,0.00,0.03,2.81,2.84,38,226,16.81,47,201,76.62,11,9,7.5,8.4,2592,8.0,2128,.901,5
16,Dallas Stars,29.4,72,41,27,4,86,.597,210,215,4,2,-0.03,0.02,2.92,2.99,48,216,22.22,43,201,78.61,5,4,6.9,7.7,2197,9.6,2226,.903,1
17,Vegas Golden Knights,28.4,73,40,29,4,84,.575,230,215,4,1,0.22,-0.02,3.15,2.95,34,191,17.80,42,192,78.13,10,6,8.1,8.0,2481,9.3,2186,.902,3
18,Vancouver Canucks,27.6,73,35,28,10,80,.548,209,203,3,3,0.09,0.01,2.86,2.78,50,224,22.32,54,206,73.79,5,6,8.0,8.8,2348,8.9,2321,.913,1
19,Winnipeg Jets,28.1,73,34,28,11,79,.541,224,226,2,4,-0.06,-0.01,3.07,3.10,49,226,21.68,54,212,74.53,9,8,9.1,9.8,2367,9.5,2407,.906,4
20,New York Islanders,30.1,71,33,29,9,75,.528,194,190,1,6,-0.08,-0.07,2.73,2.68,35,180,19.44,27,179,84.92,3,7,8.5,8.3,2050,9.5,2285,.917,8
21,Columbus Blue Jackets,26.5,73,34,33,6,74,.507,231,271,4,2,-0.48,0.04,3.16,3.71,33,192,17.19,45,211,78.67,7,6,7.7,7.0,2194,10.5,2598,.896,2
22,Anaheim Ducks,27.8,74,29,33,12,70,.473,204,237,4,5,-0.44,0.02,2.76,3.20,45,204,22.06,39,204,80.88,6,4,9.5,10.1,2191,9.3,2447,.903,4
23,San Jose Sharks,29.0,71,29,33,9,67,.472,184,226,2,2,-0.55,0.05,2.59,3.18,37,196,18.88,27,191,85.86,3,10,8.9,8.9,2086,8.8,2276,.901,3
24,Detroit Red Wings,26.9,72,28,34,10,66,.458,206,275,3,2,-0.94,0.01,2.86,3.82,35,204,17.16,53,201,73.63,5,9,9.3,9.0,2148,9.6,2425,.887,2
25,Buffalo Sabres,27.5,74,26,37,11,63,.426,200,261,3,3,-0.78,0.05,2.70,3.53,40,197,20.30,46,185,75.14,4,6,8.1,7.7,2179,9.2,2486,.895,1
26,Chicago Blackhawks,28.1,72,24,37,11,59,.410,188,253,4,2,-0.78,0.09,2.61,3.51,45,213,21.13,50,199,74.87,2,6,7.8,8.6,2077,9.1,2361,.893,4
27,Ottawa Senators,26.6,72,26,40,6,58,.403,192,234,1,2,-0.52,0.07,2.67,3.25,42,214,19.63,43,215,80.00,7,4,9.9,10.4,2176,8.8,2379,.902,2
28,Philadelphia Flyers,28.4,72,23,38,11,57,.396,187,252,1,4,-0.86,0.09,2.60,3.50,26,209,12.44,48,200,76.00,6,10,8.7,9.0,2215,8.4,2448,.897,1
29,New Jersey Devils,25.7,72,25,41,6,56,.389,218,265,3,4,-0.60,0.07,3.03,3.68,34,200,17.00,37,188,80.32,6,11,8.5,8.8,2282,9.6,2233,.881,2
30,Seattle Kraken,28.9,72,23,43,6,52,.361,184,249,2,1,-0.85,0.04,2.56,3.46,27,191,14.14,49,197,75.13,8,7,8.7,8.1,2081,8.8,2097,.881,2
31,Montreal Canadiens,27.7,72,20,41,11,51,.354,187,273,3,2,-1.14,0.04,2.60,3.79,30,223,13.45,62,245,74.69,6,10,10.3,9.1,2126,8.8,2498,.891,3
32,Arizona Coyotes,27.9,72,22,45,5,49,.340,178,261,1,4,-1.17,0.03,2.47,3.63,24,177,13.56,59,219,73.06,3,4,10.4,8.4,1862,9.6,2551,.898,1
,League Average,28.2,72,36,28,8,80,.555,223,223,,,,,,,43,209,20.68,43,209,79.32,6,6,8.7,8.7,2290,9.7,2290,.903,4
